,Healthy,MF,MPN
B Cluster 01,0.0096470588235294,0.0024489795918367,0.0
B Cluster 02,0.0415640064274236,0.0035087719298245,0.00018518518518515
B Cluster 03,0.0002983887010145,0.0004081632653061,0.0
B Cluster 04,0.0809971427388297,0.0089795918367346,0.0021013697719263003
B Cluster 05,0.0910596712079175,0.0065306122448979,0.0008333333333333
B Cluster 06,0.0354466023437823,0.0093240093240093,0.00082209799408085
B Cluster 07,0.0075700767720049,0.0040899795501022,0.0009216382865776
B Cluster 08,0.0206069910250354,0.1390593047034765,0.07393689499158246
B Cluster 09,0.0138823529411764,0.0012583433636065,0.0011770044191919
B Cluster 10,0.0111801242236024,0.1180640763462849,0.09634995791245785
B Cluster 11,0.1535797179075165,0.014860681114551,0.007031513047138
B Cluster 12,0.0265259895088221,0.0017507385928438,9.259259259255e-05
B Cluster 13,0.0002484574930638,0.0057142857142857,0.00341578586348875
B Cluster 14,0.0,0.0002726653033401,0.0
B Cluster 15,0.0053731695795937,0.2102249488752556,0.13537260749170799
B Cluster 16,0.0008856872933396,0.0013320013320013,0.00144893398442985
B Cluster 17,0.1211212283520799,0.0080495356037151,0.006451367298436501
B Cluster 18,0.1263580538497874,0.0057142857142857,0.0059970128087140995
B Cluster 19,0.008695652173913,0.2743922743922743,0.49576549369747897
B Cluster 20,0.0007453724791916,0.0020408163265306,0.0032853741495248003
B Cluster 21,0.0056022408963585,0.0324045407636738,0.00744953968634135
B Cluster 22,0.0006930006930006,0.0022703818369453,0.0007313183303232
I Cluster 01,0.1166784010013299,0.0683120028804294,0.15069661260164366
I Cluster 02,0.0492731249195934,0.0145830736632182,0.0198764789313991
I Cluster 03,0.0071183673469387,0.0801360801360801,0.019076610710691
I Cluster 04,0.1074756459127488,0.0244836502896795,0.1289807232403257
I Cluster 05,0.0096974398758727,0.0441097364174287,0.02006542480293995
I Cluster 06,0.0258691659806218,0.0013420182645412,0.0073449103087298
I Cluster 07,0.0026943005181347,0.1269025563811331,0.0061267661757528
I Cluster 08,0.0897306122448979,0.0124013200936277,0.04844247600970155
I Cluster 09,0.027409680569117,0.013313393638751,0.02013202410899315
I Cluster 10,0.0306612244897959,0.0064813660725414,0.0062090328912714505
I Cluster 11,0.054819361138234,0.1844543332360665,0.039647888559063704
I Cluster 12,0.0004235493434985,0.0004070773301542,5.06380392951e-05
I Cluster 13,0.023742470468591,0.014298220017508,0.0096710673433222
I Cluster 14,0.0915711481223481,0.0145239376008606,0.11024135681669925
I Cluster 15,0.0822639140744873,0.0287060980000654,0.06359169105822735
I Cluster 16,0.0345077720207253,0.0019465700093972,0.0631342801525851
I Cluster 17,0.019734290147401,0.0355266997373796,0.02327673698830885
T Cluster 01,0.0251608677224213,0.0141029066832932,0.02050012840267075
T Cluster 02,0.0550624341808334,0.0512112001473703,0.041813593089240195
T Cluster 03,0.0763167922967534,0.0588210597027458,0.050734030018151896
T Cluster 04,0.0306211507426802,0.0304527033250437,0.0247321845814172
T Cluster 05,0.0938850999884406,0.0908872556083969,0.15167967027960927
T Cluster 06,0.1629614991930968,0.1338588521718476,0.19989625775902045
T Cluster 07,0.0595985904703539,0.175145313926118,0.08779987667299745
T Cluster 08,0.005658080610742,0.0029013539651837,0.0021253690030023998
T Cluster 09,0.0010497242322816,0.0007445837536628,0.0005003760152363
T Cluster 10,0.028966175937819,0.0033733996499953,0.0100778238901466
T Cluster 11,0.005734867293772,0.0058359224116214,0.0053707677390734
T Cluster 12,0.0372810377406669,0.0071037118909459,0.00981854273541945
T Cluster 13,0.0048615911754981,0.0090852409370268,0.00323181124282255
T Cluster 14,0.1160803137622197,0.0722335451384726,0.11575867926102126
T Cluster 15,0.0001639056371831,4.803766152663688e-05,5.37022318647563e-06
T Cluster 16,0.0085797456718247,0.0023603812238353,0.0029842347964257002
T Cluster 17,0.0235499608504487,0.0079866987322229,0.00666069544557175
T Cluster 18,0.0071288490673011,0.0053802180909833,0.0035639738173551
T Cluster 19,0.013867330910578,0.0077928305958518,0.0066187137839383
T Cluster 20,0.0209136119619273,0.0070366081767168,0.00563007177792585
T Cluster 21,0.0046812539448769,0.003626843445261,0.00233631180127815
T Cluster 22,0.0040616780213958,0.000608651762121,0.0022835785505182
T Cluster 23,0.000693561437984,0.000816484071138,0.00041340895369945
T Cluster 24,0.0023429031017239,0.0010328097228226,0.00078786799847205
T Cluster 25,0.0137066450985622,0.0111218568665377,0.0075284704862717995
T Cluster 26,0.0068569530452938,0.0283839553457438,0.00392821105206795
T Cluster 27,0.0008892401936567,0.0007719485763486,0.0005898243076817001
T Cluster 28,0.0002705058459318,0.0292092659113935,0.00053700687896235
T Cluster 29,0.0134276096300081,0.0028174079846541,0.006234533377766201
T Cluster 30,0.0221388561447586,0.015483507021763,0.01726732813077545
T Cluster 31,0.0021346279813509,0.0025979038627119,0.0047913223910113
T Cluster 32,0.0073550306738211,0.0066336384247207,0.0051972353278601
