index,Healthy,MPN,MF,HAI_Healthy_coef,HAI_Disease_coef,HAI_All_coef,HAI_Healthy_pval,HAI_Disease_pval,HAI_All_pval,cell,id
I Cluster 01,0.10307278407826448,0.11971758712926779,0.04924626868017585,0.09244023874976198,0.0,0.11201206444213543,0.8130181506544423,1.0,0.6796010982301586,I,0
I Cluster 02,0.0746536995380299,0.02081003521817298,0.00777542422791685,-0.058825606477121255,-0.17857142857142858,0.22991950069701483,0.8805065002266478,0.701657942516273,0.39164479091998505,I,1
I Cluster 03,0.011466925757190367,0.07596569884287464,0.07429987549260965,-0.2857243743174461,0.4642857142857143,-0.16359656780364518,0.4560861494086982,0.2939341076002517,0.5449095557017978,I,0
I Cluster 04,0.12172380779573173,0.09601592533797192,0.1217338077383306,0.13445852909056286,-0.6785714285714286,-0.2225502859310849,0.7301766369627147,0.09375025395983137,0.4074124685542435,I,1
I Cluster 05,0.011091581327693511,0.02562760477833298,0.02655953701525065,0.17647681943136379,0.39285714285714285,0.09432594900390352,0.6496847436328108,0.38331687042697254,0.7282353823722811,I,0
I Cluster 06,0.029593653777186646,0.01918640365070068,0.0007580625299643501,0.19328413556768412,0.03571428571428571,0.1812826832418771,0.6182981334382576,0.9394082054712856,0.5016402092980935,I,0
I Cluster 07,0.004028183889961622,0.01005036076900664,0.19007725696127747,-0.1260548710224027,-0.21428571428571427,-0.25497483090117673,0.7465792396860756,0.6445115810207203,0.34056533466674177,I,1
I Cluster 08,0.11692659827417787,0.12905326488145136,0.0076231870383516,0.6470816712483338,0.42857142857142855,0.5084758188491675,0.059592213885008516,0.337368311085824,0.04430439910644037,I,0
I Cluster 09,0.02241284656894949,0.030191529232583798,0.0392810371360235,-0.3109353485219266,-0.07142857142857142,-0.08400904833160158,0.41540715508978243,0.8790481931481541,0.757074525288074,I,1
I Cluster 10,0.04085727575534789,0.01428759022602848,0.02011571756218335,0.0,-0.32142857142857145,0.06927061879974165,1.0,0.48207203829967765,0.7987913664853155,I,1
I Cluster 11,0.04887178293803564,0.10287035520725274,0.18482272075204892,0.16807316136320358,-0.5714285714285714,-0.41709755575163593,0.6655622186097796,0.18020198891152756,0.10798514421898407,I,1
I Cluster 12,0.000681791428924573,0.0001507183598798,0.0004771015480651,-0.4033755872716886,-0.6671243849949912,-0.3133777648252051,0.2816758864355704,0.10161797923889153,0.23724729250392013,I,1
I Cluster 13,0.04337959456006679,0.0163112371315105,0.0889498456556435,-0.2437060839766452,-0.39285714285714285,-0.29329474768401254,0.5274463958468502,0.38331687042697254,0.2702510762270373,I,1
I Cluster 14,0.19105195666697145,0.1185537982777416,0.06492902453430831,-0.10084389681792215,0.32142857142857145,0.2697132604330367,0.7962955385080446,0.48207203829967765,0.31238910371763856,I,0
I Cluster 15,0.08138790877210117,0.09841582100978455,0.07042841920426035,-0.058825606477121255,-0.17857142857142858,-0.08695673423797357,0.8805065002266478,0.701657942516273,0.748802273894106,I,1
I Cluster 16,0.07895921979964177,0.10406239134762363,0.009789723300643299,-0.16807316136320358,0.4642857142857143,0.3581438376241962,0.6655622186097796,0.2939341076002517,0.1731771162276588,I,0
I Cluster 17,0.01984038907172422,0.01872967859981518,0.0431329906229459,-0.058825606477121255,-0.32142857142857145,-0.2829778470117106,0.8805065002266478,0.48207203829967765,0.2882378902077901,I,1
