index,Healthy,MPN,MF,HAI_Healthy_coef,HAI_Disease_coef,HAI_All_coef,HAI_Healthy_pval,HAI_Disease_pval,HAI_All_pval,cell,id
T Cluster 01,0.031019627938522254,0.02892231802517614,0.030913306407478202,-0.016807316136320357,-0.03571428571428571,0.0795875194720436,0.9657684758679854,0.9394082054712856,0.769529136741207,T,0
T Cluster 02,0.06045024896289407,0.05221184200477218,0.064292071930803,-0.17647681943136379,-0.39285714285714285,-0.20486417049285296,0.6496847436328108,0.38331687042697254,0.44659026894779896,T,0
T Cluster 03,0.08293745901471002,0.06490834145989541,0.053959194549229095,-0.42018290340800896,-0.07142857142857142,-0.04568913154876577,0.26015875421000983,0.8790481931481541,0.8665689214761232,T,0
T Cluster 04,0.039372295507513505,0.036650234140947265,0.02723423402768055,-0.42858656147616914,0.42857142857142855,0.025055330204161876,0.24973810315329287,0.337368311085824,0.9266144753036715,T,1
T Cluster 05,0.08915438937385085,0.22842062058529108,0.05485496936995795,-0.06722926454528143,0.10714285714285714,-0.06484908994018368,0.8635564688805591,0.8191508555699912,0.8114119415320062,T,0
T Cluster 06,0.1524867264304831,0.1768893716710926,0.12283492096911995,0.008403658068160179,-0.7142857142857143,-0.200442641633295,0.982881215852173,0.07134356146753769,0.45667237084256673,T,0
T Cluster 07,0.05688853188910184,0.1349581144943242,0.11307919095178935,0.10084389681792215,-0.03571428571428571,-0.07369214765929963,0.7962955385080446,0.9394082054712856,0.7862173141320234,T,0
T Cluster 08,0.008895700708799522,0.00208609908232586,0.0053252290498304,-0.2605134001129656,0.25,0.11495975034850742,0.4983922968952549,0.5887244480896833,0.6716035451624165,T,0
T Cluster 09,0.0014336890634277111,0.0005806575739635406,0.0078653982189966,0.4117792453398488,0.39285714285714285,0.4347836711898678,0.27080524598002204,0.38331687042697254,0.09237746622943338,T,1
T Cluster 10,0.03658833433615572,0.00858128212181888,0.0057870048213951,0.2773207162492859,0.03571428571428571,0.399411440313404,0.4700126440526218,0.9394082054712856,0.12535779120112364,T,0
T Cluster 11,0.005773626378872366,0.0051169340936951194,0.00883908090044975,-0.16807316136320358,0.2857142857142857,0.05895371812743971,0.6655622186097796,0.5345092286010407,0.8283068318810631,T,0
T Cluster 12,0.0791857056386925,0.0086657759030867,0.0097728017878833,0.17647681943136379,-0.5714285714285714,0.2593963597607347,0.6496847436328108,0.18020198891152756,0.33196520908111904,T,0
T Cluster 13,0.004826110061007834,0.00519032715590576,0.0062600989018334,-0.4369902195443293,-0.25,-0.28887321882445455,0.23954482298124777,0.5887244480896833,0.27787402826776303,T,0
T Cluster 14,0.15021965969950513,0.09660076330950036,0.0659121321311328,0.3193390065900868,-0.07142857142857142,0.26823941747985064,0.40222670190697013,0.8790481931481541,0.31514343530925776,T,0
T Cluster 15,0.0004183966982610796,1.0653166865262574e-05,0.00044363278592456844,-0.058825606477121255,-0.12613124477737825,0.17699134295672594,0.8805065002266478,0.787572159407474,0.5119881812125227,T,0
T Cluster 16,0.01898299705431749,0.0062309508766785395,0.0020408850316852,0.008403658068160179,-0.2857142857142857,0.32277160674773236,0.982881215852173,0.5345092286010407,0.22272074893714514,T,0
T Cluster 17,0.028040635980471833,0.00876295202739506,0.0157259961273731,0.10084389681792215,-0.21428571428571427,0.1812826832418771,0.7962955385080446,0.6445115810207203,0.5016402092980935,T,0
T Cluster 18,0.011754947673435788,0.00437669410679708,0.0059870758360442995,-0.3949719292035284,0.0,0.01179074362548794,0.29276882367275386,1.0,0.9654318746930953,T,0
T Cluster 19,0.015404698620150611,0.007096070558735739,0.00958887818883235,0.10924755488608233,0.25,0.36993458124968415,0.7796443602951023,0.5887244480896833,0.15844184607159867,T,1
