sample_name,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30
1715_Unstim,0,0,0,0.18,0,0,0,4.49,0.539,12.9,1.08,0,0.359,0,14.4,0.18,1.08,0.359,62.7,1.08,0.718,0,0.276,0.322,2.8,13.7,2.8,0.23,30.3,4.37,2.85,1.06,0.69,4.14,0,0,0.46,0.552,0.828,0.184,4.6,2.02,0.138,18.3,0.276,2.11,5.01,2.02,2.46,18.8,20.1,4.23,0.52,17.4,2.33,0.0904,4.27,3.64,0.497,2.19,2.42,1.4,1.33,1.4,1.31,0.497,1.38,0.0452,1.18,1.31,0.294,2.96,0.362,0.904,0.203,1.45,0.136,4.93
187_Unstim,1,4.73,0.0166,8.1,9.11,3.54,0.476,0.708,7.71,0.489,25.7,12.7,0.0248,0,0.145,0.058,13.5,11.6,0.161,0.0745,0.087,0.0248,2.34,0.658,12.7,0.252,7.09,0.419,0.334,0.18,0.74,1.86,2.78,9.03,0.0131,0.144,1.01,1.47,1.66,1.03,5.16,7.57,0.396,20.7,9.68,0.353,9.2,3.26,1.42,6.74,5.03,10.8,0.25,4.39,3.5,0.332,5.07,7.9,0.461,0.242,6.91,7.19,0.163,1.12,6.53,1.77,0.172,0.37,17.5,0.715,0.795,3.26,0.335,0.81,0.289,2.42,0.21,3.33
1976_Unstim,0,0,0,0,0,0,0,11,0,11,0,0,0.847,0,12.7,0.847,0,0,57.6,1.69,3.39,0.847,1.38,0.873,4.03,5.26,1.09,0.485,2.45,0.194,1.14,0.631,0.0485,13.6,0,0.0243,0.679,3.18,1.41,2.89,13.6,3.83,0.291,16.5,0.728,0.267,25.5,0,2.97,4.73,0.537,50.1,0.449,7.63,1,0.845,4.36,3.98,0.44,0.0414,5.4,2.81,1.39,4.97,0.906,0.979,0.128,0.141,0.287,0.144,0.771,1.5,0.157,0.51,0.2,0.869,0.148,1.61
2074_Unstim,0,0,0,0,0,0,0.11,0.992,0,5.62,0,0,1.43,67,6.95,0.11,0,0,16.4,0.441,0.772,0.11,2.5,0.758,3.1,13.7,22.8,0.537,1.3,0.19,3.82,0.885,0.379,5.53,0,0.126,0.284,0.632,1.96,0.0316,2.02,4.36,0.19,20.4,0.221,1.39,12,0.885,2.86,10.1,9.27,14.3,0.221,23.8,1.41,0.0294,7.06,8.44,0.181,0.0196,9.17,4.22,0.147,1.88,0.524,0.372,0.517,0.118,0.811,0.26,0.326,0.943,0.0735,1.71,0.0294,0.316,0.115,0.784
2128_Unstim,0.124,0.16,0,0.781,0.195,0.337,0.195,5.38,0.124,9.23,0.888,0.142,0.249,0.0178,34.1,0.479,0.994,1.14,44.5,0.0888,0.675,0.178,0.136,0.504,2.89,23.5,33.9,0.117,0.774,0.495,0.222,0.222,0.12,0.761,0.178,0.0666,2.85,16.9,6.34,0.247,0.65,4.5,0.155,0.805,0.105,3.51,0.0222,0.00317,0.595,27.9,35.9,6.58,0.712,4.38,1.53,1.84,1.42,3.71,0.053,0.0944,2.41,1.64,0.0414,0.0696,1.07,0.141,0.0563,0.111,1.89,2.02,0.116,0.954,0.00497,0.113,0.0331,4.53,0.0696,0.0381
222_Unstim,1.22,4.68,0.148,16.8,12.9,9.81,0.815,2.06,1.14,0.968,19.6,6.59,0.0295,0,0.537,0.0886,8.98,12.6,0.555,0.0768,0.224,0.1,1.57,1.31,1.62,1.04,3.59,0.394,0.119,0.286,0.509,2.75,1.6,5.12,0.0698,0.0837,3.92,2.58,5.62,0.907,3.07,12.4,0.387,31.8,4.1,2.63,5.22,7.26,1.99,15.9,8.51,5.58,0.816,10.9,5.24,1.09,3.56,6.12,0.291,0.102,3.94,2.32,6.1,3.37,2.82,1.62,0.675,0.617,2.98,0.169,2.31,1.06,1.2,4.01,0.0939,2.05,1.72,2.8
2233_Unstim,0,0,0,0,0,0,0,11.8,0,4.2,0,0,0,0,26.9,0,0,0.84,54.6,0,1.68,0,1.65,0.367,3.3,24.2,26.4,1.65,0.55,0.55,1.28,4.04,0.917,5.5,0.183,0,0.734,1.1,2.02,0,4.77,2.94,0.183,8.99,0.367,4.4,3.49,0.367,1.51,20.8,1.81,17.6,0.504,10.9,0.903,0.042,2.62,3.61,0.252,0,3.23,1.83,3.46,3.67,0.525,0.735,5.4,0.105,1.74,0.588,1.39,1.87,0.567,13.7,0.042,0.252,0.126,0.315
2248_Unstim,0.0333,0.133,0,0.833,0.699,0.932,0.0999,11.2,1.4,24.7,2.8,0.233,0.932,0,18.3,0.133,4.3,4.63,27.4,0.799,0.433,0,0.524,0.923,0.462,0.437,0.362,1.07,32.6,47.3,10.8,0.324,0.337,2.02,0,0.0998,0.212,1.63,0.312,0.25,0.0749,0.15,0.0125,0.0749,0,0,0.025,0.025,1.86,23.5,24.4,10.8,0.533,15.9,0.974,0.084,4,4.49,0.802,3.26,2.96,0.773,0.672,1.99,0.47,0.16,0.185,0.084,0.411,0.223,0.336,0.353,0.311,0.101,0.101,0.244,0,0.0168
2282_Unstim,0.372,0.351,0.144,0.97,0.372,1.9,1.4,28.5,0.0619,14.9,1.49,0.0206,0.433,0.0413,27.7,0.372,0.805,0.557,15.6,0.516,3.24,0.227,1.1,0.645,2.16,4.76,2.36,0.18,50.3,13.4,6.6,0.121,0.0786,0.844,0.00327,0.00982,0.386,0.223,0.488,0.0786,1.78,1.26,0.0393,3.9,0.439,4.4,3.37,0.982,1.05,11.3,18.1,3.44,0.343,8.84,3,0.161,3.07,5.96,0.176,2.92,4.99,2.33,0.798,0.366,21.4,0.144,6.25,0.16,0.721,0.275,0.421,1.07,0.113,0.414,0.0334,0.814,0.569,0.842
262_Unstim,0.87,7.14,0.606,9.97,16.9,10.3,1.12,2.25,0.528,1.12,14.5,2.36,0,0,0.419,0.342,16,13.4,0.87,0.155,0.947,0.0776,4.16,3.71,2.61,1.26,10.2,0.315,0.0582,0.16,0.912,3.83,0.722,5.81,0.179,0.0873,2.92,7.49,7.8,0.761,2.17,15.9,0.15,11.4,12.8,0.669,3.59,0.257,1.16,13.8,26.2,3.8,1.09,5.77,3.92,1.43,4.01,6.17,0.375,0.0455,5.19,1.99,0.75,5.71,2.11,0.824,0.369,0.5,2.72,0.261,1.25,1.64,2.79,1.73,0.0883,2.45,1.12,0.76
