sample_name,cluster,CD11b median,CD11c median,CD123 median,CD127 median,CD14 median,CD16 median,CD183_CXCR3 median,CD185_CXCR5 median,CD19 median,CD192_CCR2 median,CD194_CCR4 median,CD195_CCR5 median,CD197_CCR7 median,CD25 median,CD27 median,CD28 median,CD3 median,CD33 median,CD38 median,CD4 median,CD44 median,CD45RA median,CD45RO median,CD56 median,CD57 median,CD8 median,CD80 median,CD86 median,GranzymeB median,HLA-DR median,IFNB median,IFNg median,IL-10 median,IL-17A median,IL-1b median,IL-2 median,Mip1B_CCL4 median,PD-1 median,T-bet median,TGFb median,TNFa median
1715_Unstim,B01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715_Unstim,B02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715_Unstim,B03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715_Unstim,B04,0,0.149,0,0,0.0909,0,0,3.02,3.17,0,0.063,2.61,4.23,2.09,1.39,0,0,0.371,1.01,0.0676,3.71,3.68,0.082,0.294,0.0034,0,0.0772,0,0.435,6.94,0.851,0,0.182,0,0.0903,0,0,0.304,0.137,0,0
1715_Unstim,B05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715_Unstim,B06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715_Unstim,B07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715_Unstim,B08,0,0.0623,0.000000755448,0,0,0,0,0,2.78,0.686,0,0.478,3.15,1.16,2.24,0,0,0,0.639,0,3.32,3.41,0,0,0,0,0.261,0,0.128,5.68,0,0,0,0,0,0,0,0,0,0,0
1715_Unstim,B09,0,0.102,0,0,0.582,0,0,1.85,2.75,3.38,0.0131,1.46,3.84,4.02,0,0.000014651019,0.112,0,0,0.0000587834,3.51,3.57,0,0,0,0,0.116,0,0,5.69,0.0759,0,0,0,0,0,0.0000201256,0,0,0,0
1715_Unstim,B10,0,0.0001048119,0,0,0.0699,0,0,0,2.99,2.16,0,0.349,3.37,2.22,1.97,0.00000124055,0.094,0,0.87,0,3.12,3.31,0.000002147341,0,0.0000100328,0,0.191,0,0.043,5.76,0.0104,0,0,0,0,0,0,0,0,0.0373,0
