"cluster","fold.change","pvalue","comparison"
"B01",-22.4918323712088,0.00864910500041695,"Healthy_vs_PV_ET"
"B02",-48.3073052864093,0.0113834049256857,"Healthy_vs_PV_ET"
"B04",-24.8235757246239,0.03931851368089,"Healthy_vs_PV_ET"
"B05",-29.0500654177877,0.032468577286589,"Healthy_vs_PV_ET"
"B06",-20.3137971780416,0.033612196852858,"Healthy_vs_PV_ET"
"B11",-19.3708119987322,0.00864910500041695,"Healthy_vs_PV_ET"
"B17",-11.7297477985856,0.00864910500041695,"Healthy_vs_PV_ET"
"B18",-10.94149238414,0.00864910500041695,"Healthy_vs_PV_ET"
"T07",-2.98824661654832,0.00864910500041695,"Healthy_vs_PV_ET"
"B02",-4.95792450926347,0.0483043288756292,"Healthy_vs_MF"
"B05",-8.92382406125981,0.048028799316573,"Healthy_vs_MF"
"B11",-7.79761004633608,0.00882679580386992,"Healthy_vs_MF"
"B15",3.48931962756357,0.0248547086191151,"Healthy_vs_MF"
"B17",-7.81961235183556,0.00955379784719735,"Healthy_vs_MF"
"B18",-9.15850263900738,0.00882679580386992,"Healthy_vs_MF"
"I10",-9.16983958383954,0.00957931286551863,"Healthy_vs_MF"
"I18",-3.78063721812426,0.00882679580386992,"Healthy_vs_MF"
"T18",-5.51238911538525,0.00882679580386992,"Healthy_vs_MF"
